email,zip,city,state
Grand_Rapids_MI_49546@illinois.edu,49546,Grand_Rapids,MI
Grand_Rapids_MI_49548@illinois.edu,49548,Grand_Rapids,MI
Grand_Rapids_MI_49544@illinois.edu,49544,Grand_Rapids,MI
Columbus_OH_43004@illinois.edu,43004,Columbus,OH
Columbus_OH_43016@illinois.edu,43016,Columbus,OH
Columbus_OH_43017@illinois.edu,43017,Columbus,OH
Columbus_OH_43026@illinois.edu,43026,Columbus,OH
Columbus_OH_43035@illinois.edu,43035,Columbus,OH
Columbus_OH_43054@illinois.edu,43054,Columbus,OH
Columbus_OH_43065@illinois.edu,43065,Columbus,OH
Columbus_OH_43081@illinois.edu,43081,Columbus,OH
Columbus_OH_43085@illinois.edu,43085,Columbus,OH
Columbus_OH_43110@illinois.edu,43110,Columbus,OH
Columbus_OH_43119@illinois.edu,43119,Columbus,OH
Columbus_OH_43123@illinois.edu,43123,Columbus,OH
Columbus_OH_43125@illinois.edu,43125,Columbus,OH
Columbus_OH_43137@illinois.edu,43137,Columbus,OH
Columbus_OH_43147@illinois.edu,43147,Columbus,OH
Columbus_OH_43201@illinois.edu,43201,Columbus,OH
Columbus_OH_43202@illinois.edu,43202,Columbus,OH
Columbus_OH_43203@illinois.edu,43203,Columbus,OH
Columbus_OH_43204@illinois.edu,43204,Columbus,OH
Columbus_OH_43205@illinois.edu,43205,Columbus,OH
Columbus_OH_43206@illinois.edu,43206,Columbus,OH
Columbus_OH_43207@illinois.edu,43207,Columbus,OH
Columbus_OH_43209@illinois.edu,43209,Columbus,OH
Columbus_OH_43210@illinois.edu,43210,Columbus,OH
Columbus_OH_43211@illinois.edu,43211,Columbus,OH
Columbus_OH_43212@illinois.edu,43212,Columbus,OH
Columbus_OH_43213@illinois.edu,43213,Columbus,OH
Columbus_OH_43214@illinois.edu,43214,Columbus,OH
Columbus_OH_43215@illinois.edu,43215,Columbus,OH
Columbus_OH_43217@illinois.edu,43217,Columbus,OH
Columbus_OH_43219@illinois.edu,43219,Columbus,OH
Columbus_OH_43220@illinois.edu,43220,Columbus,OH
Columbus_OH_43221@illinois.edu,43221,Columbus,OH
Columbus_OH_43222@illinois.edu,43222,Columbus,OH
Columbus_OH_43223@illinois.edu,43223,Columbus,OH
Columbus_OH_43224@illinois.edu,43224,Columbus,OH
Columbus_OH_43227@illinois.edu,43227,Columbus,OH
Columbus_OH_43228@illinois.edu,43228,Columbus,OH
Columbus_OH_43229@illinois.edu,43229,Columbus,OH
Columbus_OH_43230@illinois.edu,43230,Columbus,OH
Columbus_OH_43231@illinois.edu,43231,Columbus,OH
Columbus_OH_43232@illinois.edu,43232,Columbus,OH
Columbus_OH_43235@illinois.edu,43235,Columbus,OH
Columbus_OH_43240@illinois.edu,43240,Columbus,OH
Pittsburgh_PA_15201@illinois.edu,15201,Pittsburgh,PA
Pittsburgh_PA_15202@illinois.edu,15202,Pittsburgh,PA
Pittsburgh_PA_15203@illinois.edu,15203,Pittsburgh,PA
Pittsburgh_PA_15204@illinois.edu,15204,Pittsburgh,PA
Pittsburgh_PA_15205@illinois.edu,15205,Pittsburgh,PA
Pittsburgh_PA_15206@illinois.edu,15206,Pittsburgh,PA
Pittsburgh_PA_15207@illinois.edu,15207,Pittsburgh,PA
Pittsburgh_PA_15208@illinois.edu,15208,Pittsburgh,PA
Pittsburgh_PA_15209@illinois.edu,15209,Pittsburgh,PA
Pittsburgh_PA_15210@illinois.edu,15210,Pittsburgh,PA
Pittsburgh_PA_15211@illinois.edu,15211,Pittsburgh,PA
Pittsburgh_PA_15212@illinois.edu,15212,Pittsburgh,PA
Pittsburgh_PA_15213@illinois.edu,15213,Pittsburgh,PA
Pittsburgh_PA_15214@illinois.edu,15214,Pittsburgh,PA
Pittsburgh_PA_15215@illinois.edu,15215,Pittsburgh,PA
Pittsburgh_PA_15216@illinois.edu,15216,Pittsburgh,PA
Pittsburgh_PA_15217@illinois.edu,15217,Pittsburgh,PA
Pittsburgh_PA_15218@illinois.edu,15218,Pittsburgh,PA
Pittsburgh_PA_15219@illinois.edu,15219,Pittsburgh,PA
Pittsburgh_PA_15220@illinois.edu,15220,Pittsburgh,PA
Pittsburgh_PA_15221@illinois.edu,15221,Pittsburgh,PA
Pittsburgh_PA_15222@illinois.edu,15222,Pittsburgh,PA
Pittsburgh_PA_15223@illinois.edu,15223,Pittsburgh,PA
Pittsburgh_PA_15224@illinois.edu,15224,Pittsburgh,PA
Pittsburgh_PA_15225@illinois.edu,15225,Pittsburgh,PA
Pittsburgh_PA_15226@illinois.edu,15226,Pittsburgh,PA
Pittsburgh_PA_15227@illinois.edu,15227,Pittsburgh,PA
Pittsburgh_PA_15228@illinois.edu,15228,Pittsburgh,PA
Pittsburgh_PA_15229@illinois.edu,15229,Pittsburgh,PA
Pittsburgh_PA_15232@illinois.edu,15232,Pittsburgh,PA
Pittsburgh_PA_15233@illinois.edu,15233,Pittsburgh,PA
Pittsburgh_PA_15234@illinois.edu,15234,Pittsburgh,PA
Pittsburgh_PA_15235@illinois.edu,15235,Pittsburgh,PA
Pittsburgh_PA_15236@illinois.edu,15236,Pittsburgh,PA
Pittsburgh_PA_15237@illinois.edu,15237,Pittsburgh,PA
Pittsburgh_PA_15238@illinois.edu,15238,Pittsburgh,PA
Pittsburgh_PA_15239@illinois.edu,15239,Pittsburgh,PA
Pittsburgh_PA_15241@illinois.edu,15241,Pittsburgh,PA
Pittsburgh_PA_15243@illinois.edu,15243,Pittsburgh,PA
Pittsburgh_PA_15260@illinois.edu,15260,Pittsburgh,PA
Pittsburgh_PA_15290@illinois.edu,15290,Pittsburgh,PA
