block,card,alt,title,cost,nature,farmland,meals_nature,meals_farmland,access,distance,treatment,alt_id,card_id,card_dcreate,ind_id,pooled_card_id,ind_card_id,choice,asc,access_indicator,access_nature,access_farmland,access_distance,distance_nature,distance_farmland,distance_meals_nature,distance_meals_farmland
3,2,2,No Project,0,0,0,0,0,No Recreation,0,near,28,14,13,3,14,14,1,1,1,0,0,0,0,0,0,0
3,3,1,Project,5,40,40,12,0,Trails and Tables,10,near,29,15,18,3,15,15,0,0,1,40,40,10,400,400,120,0
3,3,2,No Project,0,0,0,0,0,No Recreation,0,near,30,15,18,3,15,15,1,1,1,0,0,0,0,0,0,0
3,4,1,Project,50,120,120,2,6,Trails and Tables,10,near,31,16,22,3,16,16,1,0,1,120,120,10,1200,1200,20,60
3,4,2,No Project,0,0,0,0,0,No Recreation,0,near,32,16,22,3,16,16,0,1,1,0,0,0,0,0,0,0
3,5,1,Project,1000,40,120,6,6,No Recreation,10,near,33,17,23,3,17,17,1,0,1,40,120,10,400,1200,60,60
3,5,2,No Project,0,0,0,0,0,No Recreation,0,near,34,17,23,3,17,17,0,1,1,0,0,0,0,0,0,0
3,6,1,Project,1000,120,40,12,2,Picnic Tables,15,near,35,18,30,3,18,18,0,0,1,120,40,15,1800,600,180,30
3,6,2,No Project,0,0,0,0,0,No Recreation,0,near,36,18,30,3,18,18,1,1,1,0,0,0,0,0,0,0
4,1,1,Project,5,0,80,0,12,No Recreation,25,near,37,19,1,4,19,19,0,0,1,0,80,25,0,2000,0,300
4,1,2,No Project,0,0,0,0,0,No Recreation,0,near,38,19,1,4,19,19,1,1,1,0,0,0,0,0,0,0
4,2,1,Project,50,0,40,0,0,Trails and Tables,25,near,39,20,2,4,20,20,1,0,1,0,40,25,0,1000,0,0
4,2,2,No Project,0,0,0,0,0,No Recreation,0,near,40,20,2,4,20,20,0,1,1,0,0,0,0,0,0,0
4,3,1,Project,500,120,0,12,0,Picnic Tables,25,near,41,21,3,4,21,21,0,0,1,120,0,25,3000,0,300,0
4,3,2,No Project,0,0,0,0,0,No Recreation,0,near,42,21,3,4,21,21,1,1,1,0,0,0,0,0,0,0
4,4,1,Project,100,80,120,6,0,Trails and Tables,15,near,43,22,14,4,22,22,1,0,1,80,120,15,1200,1800,90,0
4,4,2,No Project,0,0,0,0,0,No Recreation,0,near,44,22,14,4,22,22,0,1,1,0,0,0,0,0,0,0
4,5,1,Project,1000,80,120,0,0,Maintained Trails,10,near,45,23,20,4,23,23,1,0,1,80,120,10,800,1200,0,0
4,5,2,No Project,0,0,0,0,0,No Recreation,0,near,46,23,20,4,23,23,0,1,1,0,0,0,0,0,0,0
4,6,1,Project,5,0,120,0,6,Maintained Trails,15,near,47,24,24,4,24,24,1,0,1,0,120,15,0,1800,0,90
4,6,2,No Project,0,0,0,0,0,No Recreation,0,near,48,24,24,4,24,24,0,1,1,0,0,0,0,0,0,0
5,1,1,Project,5,80,40,12,2,Trails and Tables,25,near,49,25,4,5,25,25,1,0,1,80,40,25,2000,1000,300,50
5,1,2,No Project,0,0,0,0,0,No Recreation,0,near,50,25,4,5,25,25,0,1,1,0,0,0,0,0,0,0
5,2,1,Project,20,40,120,12,0,No Recreation,25,near,51,26,7,5,26,26,1,0,1,40,120,25,1000,3000,300,0
5,2,2,No Project,0,0,0,0,0,No Recreation,0,near,52,26,7,5,26,26,0,1,1,0,0,0,0,0,0,0
5,3,1,Project,500,80,120,2,12,Picnic Tables,25,near,53,27,11,5,27,27,1,0,1,80,120,25,2000,3000,50,300
5,3,2,No Project,0,0,0,0,0,No Recreation,0,near,54,27,11,5,27,27,0,1,1,0,0,0,0,0,0,0
5,4,1,Project,1000,0,80,0,12,Trails and Tables,10,near,55,28,16,5,28,28,1,0,1,0,80,10,0,800,0,120
5,4,2,No Project,0,0,0,0,0,No Recreation,0,near,56,28,16,5,28,28,0,1,1,0,0,0,0,0,0,0
5,5,1,Project,50,80,0,2,0,No Recreation,10,near,57,29,17,5,29,29,0,0,1,80,0,10,800,0,20,0
5,5,2,No Project,0,0,0,0,0,No Recreation,0,near,58,29,17,5,29,29,1,1,1,0,0,0,0,0,0,0
5,6,1,Project,20,120,80,6,2,Picnic Tables,10,near,59,30,21,5,30,30,0,0,1,120,80,10,1200,800,60,20
5,6,2,No Project,0,0,0,0,0,No Recreation,0,near,60,30,21,5,30,30,1,1,1,0,0,0,0,0,0,0
1,1,1,Project,20,120,120,12,12,Trails and Tables,25,near,1,1,5,6,1,31,0,0,1,120,120,25,3000,3000,300,300
1,1,2,No Project,0,0,0,0,0,No Recreation,0,near,2,1,5,6,1,31,1,1,1,0,0,0,0,0,0,0
1,2,1,Project,100,0,120,0,2,No Recreation,10,near,3,2,8,6,2,32,1,0,1,0,120,10,0,1200,0,20
1,2,2,No Project,0,0,0,0,0,No Recreation,0,near,4,2,8,6,2,32,0,1,1,0,0,0,0,0,0,0
1,3,1,Project,500,40,120,0,2,Trails and Tables,25,near,5,3,15,6,3,33,1,0,1,40,120,25,1000,3000,0,50
1,3,2,No Project,0,0,0,0,0,No Recreation,0,near,6,3,15,6,3,33,0,1,1,0,0,0,0,0,0,0
1,4,1,Project,500,120,80,2,0,No Recreation,15,near,7,4,26,6,4,34,1,0,1,120,80,15,1800,1200,30,0
1,4,2,No Project,0,0,0,0,0,No Recreation,0,near,8,4,26,6,4,34,0,1,1,0,0,0,0,0,0,0
1,5,1,Project,50,120,120,6,12,No Recreation,25,near,9,5,27,6,5,35,1,0,1,120,120,25,3000,3000,150,300
1,5,2,No Project,0,0,0,0,0,No Recreation,0,near,10,5,27,6,5,35,0,1,1,0,0,0,0,0,0,0
1,6,1,Project,100,120,40,0,6,Picnic Tables,10,near,11,6,29,6,6,36,1,0,1,120,40,10,1200,400,0,60
1,6,2,No Project,0,0,0,0,0,No Recreation,0,near,12,6,29,6,6,36,0,1,1,0,0,0,0,0,0,0
2,1,1,Project,20,120,0,0,0,Trails and Tables,15,near,13,7,6,7,7,37,1,0,1,120,0,15,1800,0,0,0
2,1,2,No Project,0,0,0,0,0,No Recreation,0,near,14,7,6,7,7,37,0,1,1,0,0,0,0,0,0,0
2,2,1,Project,100,40,40,2,12,Maintained Trails,25,near,15,8,9,7,8,38,1,0,1,40,40,25,1000,1000,50,300
2,2,2,No Project,0,0,0,0,0,No Recreation,0,near,16,8,9,7,8,38,0,1,1,0,0,0,0,0,0,0
2,3,1,Project,5,120,120,2,0,Maintained Trails,25,near,17,9,12,7,9,39,0,0,1,120,120,25,3000,3000,50,0
2,3,2,No Project,0,0,0,0,0,No Recreation,0,near,18,9,12,7,9,39,1,1,1,0,0,0,0,0,0,0
2,4,1,Project,5,120,120,12,12,No Recreation,10,near,19,10,19,7,10,40,0,0,1,120,120,10,1200,1200,120,120
2,4,2,No Project,0,0,0,0,0,No Recreation,0,near,20,10,19,7,10,40,1,1,1,0,0,0,0,0,0,0
2,5,1,Project,50,40,80,0,12,Picnic Tables,15,near,21,11,25,7,11,41,1,0,1,40,80,15,600,1200,0,180
2,5,2,No Project,0,0,0,0,0,No Recreation,0,near,22,11,25,7,11,41,0,1,1,0,0,0,0,0,0,0
2,6,1,Project,20,80,40,0,6,No Recreation,25,near,23,12,28,7,12,42,1,0,1,80,40,25,2000,1000,0,150
2,6,2,No Project,0,0,0,0,0,No Recreation,0,near,24,12,28,7,12,42,0,1,1,0,0,0,0,0,0,0
3,1,1,Project,100,80,80,12,6,Maintained Trails,10,near,25,13,10,8,13,43,0,0,1,80,80,10,800,800,120,60
3,1,2,No Project,0,0,0,0,0,No Recreation,0,near,26,13,10,8,13,43,1,1,1,0,0,0,0,0,0,0
3,2,1,Project,500,120,40,6,12,Maintained Trails,10,near,27,14,13,8,14,44,1,0,1,120,40,10,1200,400,60,120
3,2,2,No Project,0,0,0,0,0,No Recreation,0,near,28,14,13,8,14,44,0,1,1,0,0,0,0,0,0,0
3,3,1,Project,5,40,40,12,0,Trails and Tables,10,near,29,15,18,8,15,45,0,0,1,40,40,10,400,400,120,0
3,3,2,No Project,0,0,0,0,0,No Recreation,0,near,30,15,18,8,15,45,1,1,1,0,0,0,0,0,0,0
3,4,1,Project,50,120,120,2,6,Trails and Tables,10,near,31,16,22,8,16,46,0,0,1,120,120,10,1200,1200,20,60
3,4,2,No Project,0,0,0,0,0,No Recreation,0,near,32,16,22,8,16,46,1,1,1,0,0,0,0,0,0,0
3,5,1,Project,1000,40,120,6,6,No Recreation,10,near,33,17,23,8,17,47,0,0,1,40,120,10,400,1200,60,60
3,5,2,No Project,0,0,0,0,0,No Recreation,0,near,34,17,23,8,17,47,1,1,1,0,0,0,0,0,0,0
3,6,1,Project,1000,120,40,12,2,Picnic Tables,15,near,35,18,30,8,18,48,1,0,1,120,40,15,1800,600,180,30
3,6,2,No Project,0,0,0,0,0,No Recreation,0,near,36,18,30,8,18,48,0,1,1,0,0,0,0,0,0,0
4,1,1,Project,5,0,80,0,12,No Recreation,25,near,37,19,1,9,19,49,0,0,1,0,80,25,0,2000,0,300
4,1,2,No Project,0,0,0,0,0,No Recreation,0,near,38,19,1,9,19,49,1,1,1,0,0,0,0,0,0,0
4,2,1,Project,50,0,40,0,0,Trails and Tables,25,near,39,20,2,9,20,50,1,0,1,0,40,25,0,1000,0,0
4,2,2,No Project,0,0,0,0,0,No Recreation,0,near,40,20,2,9,20,50,0,1,1,0,0,0,0,0,0,0
4,3,1,Project,500,120,0,12,0,Picnic Tables,25,near,41,21,3,9,21,51,1,0,1,120,0,25,3000,0,300,0
4,3,2,No Project,0,0,0,0,0,No Recreation,0,near,42,21,3,9,21,51,0,1,1,0,0,0,0,0,0,0
4,4,1,Project,100,80,120,6,0,Trails and Tables,15,near,43,22,14,9,22,52,0,0,1,80,120,15,1200,1800,90,0
4,4,2,No Project,0,0,0,0,0,No Recreation,0,near,44,22,14,9,22,52,1,1,1,0,0,0,0,0,0,0
4,5,1,Project,1000,80,120,0,0,Maintained Trails,10,near,45,23,20,9,23,53,0,0,1,80,120,10,800,1200,0,0
4,5,2,No Project,0,0,0,0,0,No Recreation,0,near,46,23,20,9,23,53,1,1,1,0,0,0,0,0,0,0
4,6,1,Project,5,0,120,0,6,Maintained Trails,15,near,47,24,24,9,24,54,1,0,1,0,120,15,0,1800,0,90
4,6,2,No Project,0,0,0,0,0,No Recreation,0,near,48,24,24,9,24,54,0,1,1,0,0,0,0,0,0,0
5,1,1,Project,5,80,40,12,2,Trails and Tables,25,near,49,25,4,10,25,55,1,0,1,80,40,25,2000,1000,300,50
5,1,2,No Project,0,0,0,0,0,No Recreation,0,near,50,25,4,10,25,55,0,1,1,0,0,0,0,0,0,0
5,2,1,Project,20,40,120,12,0,No Recreation,25,near,51,26,7,10,26,56,1,0,1,40,120,25,1000,3000,300,0
5,2,2,No Project,0,0,0,0,0,No Recreation,0,near,52,26,7,10,26,56,0,1,1,0,0,0,0,0,0,0
5,3,1,Project,500,80,120,2,12,Picnic Tables,25,near,53,27,11,10,27,57,1,0,1,80,120,25,2000,3000,50,300
5,3,2,No Project,0,0,0,0,0,No Recreation,0,near,54,27,11,10,27,57,0,1,1,0,0,0,0,0,0,0
5,4,1,Project,1000,0,80,0,12,Trails and Tables,10,near,55,28,16,10,28,58,1,0,1,0,80,10,0,800,0,120
5,4,2,No Project,0,0,0,0,0,No Recreation,0,near,56,28,16,10,28,58,0,1,1,0,0,0,0,0,0,0
5,5,1,Project,50,80,0,2,0,No Recreation,10,near,57,29,17,10,29,59,0,0,1,80,0,10,800,0,20,0
5,5,2,No Project,0,0,0,0,0,No Recreation,0,near,58,29,17,10,29,59,1,1,1,0,0,0,0,0,0,0
5,6,1,Project,20,120,80,6,2,Picnic Tables,10,near,59,30,21,10,30,60,0,0,1,120,80,10,1200,800,60,20
5,6,2,No Project,0,0,0,0,0,No Recreation,0,near,60,30,21,10,30,60,1,1,1,0,0,0,0,0,0,0
1,1,1,Project,20,120,120,12,12,Trails and Tables,25,near,1,1,5,11,1,61,0,0,1,120,120,25,3000,3000,300,300
1,1,2,No Project,0,0,0,0,0,No Recreation,0,near,2,1,5,11,1,61,1,1,1,0,0,0,0,0,0,0
1,2,1,Project,100,0,120,0,2,No Recreation,10,near,3,2,8,11,2,62,1,0,1,0,120,10,0,1200,0,20
1,2,2,No Project,0,0,0,0,0,No Recreation,0,near,4,2,8,11,2,62,0,1,1,0,0,0,0,0,0,0
1,3,1,Project,500,40,120,0,2,Trails and Tables,25,near,5,3,15,11,3,63,1,0,1,40,120,25,1000,3000,0,50
1,3,2,No Project,0,0,0,0,0,No Recreation,0,near,6,3,15,11,3,63,0,1,1,0,0,0,0,0,0,0
1,4,1,Project,500,120,80,2,0,No Recreation,15,near,7,4,26,11,4,64,0,0,1,120,80,15,1800,1200,30,0
1,4,2,No Project,0,0,0,0,0,No Recreation,0,near,8,4,26,11,4,64,1,1,1,0,0,0,0,0,0,0
1,5,1,Project,50,120,120,6,12,No Recreation,25,near,9,5,27,11,5,65,0,0,1,120,120,25,3000,3000,150,300
1,5,2,No Project,0,0,0,0,0,No Recreation,0,near,10,5,27,11,5,65,1,1,1,0,0,0,0,0,0,0
1,6,1,Project,100,120,40,0,6,Picnic Tables,10,near,11,6,29,11,6,66,0,0,1,120,40,10,1200,400,0,60
1,6,2,No Project,0,0,0,0,0,No Recreation,0,near,12,6,29,11,6,66,1,1,1,0,0,0,0,0,0,0
2,1,1,Project,20,120,0,0,0,Trails and Tables,15,near,13,7,6,12,7,67,0,0,1,120,0,15,1800,0,0,0
2,1,2,No Project,0,0,0,0,0,No Recreation,0,near,14,7,6,12,7,67,1,1,1,0,0,0,0,0,0,0
2,2,1,Project,100,40,40,2,12,Maintained Trails,25,near,15,8,9,12,8,68,1,0,1,40,40,25,1000,1000,50,300
2,2,2,No Project,0,0,0,0,0,No Recreation,0,near,16,8,9,12,8,68,0,1,1,0,0,0,0,0,0,0
2,3,1,Project,5,120,120,2,0,Maintained Trails,25,near,17,9,12,12,9,69,1,0,1,120,120,25,3000,3000,50,0
2,3,2,No Project,0,0,0,0,0,No Recreation,0,near,18,9,12,12,9,69,0,1,1,0,0,0,0,0,0,0
2,4,1,Project,5,120,120,12,12,No Recreation,10,near,19,10,19,12,10,70,0,0,1,120,120,10,1200,1200,120,120
2,4,2,No Project,0,0,0,0,0,No Recreation,0,near,20,10,19,12,10,70,1,1,1,0,0,0,0,0,0,0
2,5,1,Project,50,40,80,0,12,Picnic Tables,15,near,21,11,25,12,11,71,0,0,1,40,80,15,600,1200,0,180
2,5,2,No Project,0,0,0,0,0,No Recreation,0,near,22,11,25,12,11,71,1,1,1,0,0,0,0,0,0,0
2,6,1,Project,20,80,40,0,6,No Recreation,25,near,23,12,28,12,12,72,1,0,1,80,40,25,2000,1000,0,150
2,6,2,No Project,0,0,0,0,0,No Recreation,0,near,24,12,28,12,12,72,0,1,1,0,0,0,0,0,0,0
3,1,1,Project,100,80,80,12,6,Maintained Trails,10,near,25,13,10,13,13,73,0,0,1,80,80,10,800,800,120,60
3,1,2,No Project,0,0,0,0,0,No Recreation,0,near,26,13,10,13,13,73,1,1,1,0,0,0,0,0,0,0
3,2,1,Project,500,120,40,6,12,Maintained Trails,10,near,27,14,13,13,14,74,1,0,1,120,40,10,1200,400,60,120
3,2,2,No Project,0,0,0,0,0,No Recreation,0,near,28,14,13,13,14,74,0,1,1,0,0,0,0,0,0,0
3,3,1,Project,5,40,40,12,0,Trails and Tables,10,near,29,15,18,13,15,75,0,0,1,40,40,10,400,400,120,0
3,3,2,No Project,0,0,0,0,0,No Recreation,0,near,30,15,18,13,15,75,1,1,1,0,0,0,0,0,0,0
3,4,1,Project,50,120,120,2,6,Trails and Tables,10,near,31,16,22,13,16,76,1,0,1,120,120,10,1200,1200,20,60
3,4,2,No Project,0,0,0,0,0,No Recreation,0,near,32,16,22,13,16,76,0,1,1,0,0,0,0,0,0,0
3,5,1,Project,1000,40,120,6,6,No Recreation,10,near,33,17,23,13,17,77,0,0,1,40,120,10,400,1200,60,60
3,5,2,No Project,0,0,0,0,0,No Recreation,0,near,34,17,23,13,17,77,1,1,1,0,0,0,0,0,0,0
3,6,1,Project,1000,120,40,12,2,Picnic Tables,15,near,35,18,30,13,18,78,0,0,1,120,40,15,1800,600,180,30
3,6,2,No Project,0,0,0,0,0,No Recreation,0,near,36,18,30,13,18,78,1,1,1,0,0,0,0,0,0,0
4,1,1,Project,5,0,80,0,12,No Recreation,25,near,37,19,1,14,19,79,0,0,1,0,80,25,0,2000,0,300
4,1,2,No Project,0,0,0,0,0,No Recreation,0,near,38,19,1,14,19,79,1,1,1,0,0,0,0,0,0,0
4,2,1,Project,50,0,40,0,0,Trails and Tables,25,near,39,20,2,14,20,80,0,0,1,0,40,25,0,1000,0,0
4,2,2,No Project,0,0,0,0,0,No Recreation,0,near,40,20,2,14,20,80,1,1,1,0,0,0,0,0,0,0
4,3,1,Project,500,120,0,12,0,Picnic Tables,25,near,41,21,3,14,21,81,0,0,1,120,0,25,3000,0,300,0
4,3,2,No Project,0,0,0,0,0,No Recreation,0,near,42,21,3,14,21,81,1,1,1,0,0,0,0,0,0,0
4,4,1,Project,100,80,120,6,0,Trails and Tables,15,near,43,22,14,14,22,82,1,0,1,80,120,15,1200,1800,90,0
4,4,2,No Project,0,0,0,0,0,No Recreation,0,near,44,22,14,14,22,82,0,1,1,0,0,0,0,0,0,0
4,5,1,Project,1000,80,120,0,0,Maintained Trails,10,near,45,23,20,14,23,83,1,0,1,80,120,10,800,1200,0,0
4,5,2,No Project,0,0,0,0,0,No Recreation,0,near,46,23,20,14,23,83,0,1,1,0,0,0,0,0,0,0
4,6,1,Project,5,0,120,0,6,Maintained Trails,15,near,47,24,24,14,24,84,0,0,1,0,120,15,0,1800,0,90
4,6,2,No Project,0,0,0,0,0,No Recreation,0,near,48,24,24,14,24,84,1,1,1,0,0,0,0,0,0,0
5,1,1,Project,5,80,40,12,2,Trails and Tables,25,near,49,25,4,15,25,85,1,0,1,80,40,25,2000,1000,300,50
5,1,2,No Project,0,0,0,0,0,No Recreation,0,near,50,25,4,15,25,85,0,1,1,0,0,0,0,0,0,0
5,2,1,Project,20,40,120,12,0,No Recreation,25,near,51,26,7,15,26,86,1,0,1,40,120,25,1000,3000,300,0
5,2,2,No Project,0,0,0,0,0,No Recreation,0,near,52,26,7,15,26,86,0,1,1,0,0,0,0,0,0,0
5,3,1,Project,500,80,120,2,12,Picnic Tables,25,near,53,27,11,15,27,87,1,0,1,80,120,25,2000,3000,50,300
5,3,2,No Project,0,0,0,0,0,No Recreation,0,near,54,27,11,15,27,87,0,1,1,0,0,0,0,0,0,0
5,4,1,Project,1000,0,80,0,12,Trails and Tables,10,near,55,28,16,15,28,88,0,0,1,0,80,10,0,800,0,120
5,4,2,No Project,0,0,0,0,0,No Recreation,0,near,56,28,16,15,28,88,1,1,1,0,0,0,0,0,0,0
5,5,1,Project,50,80,0,2,0,No Recreation,10,near,57,29,17,15,29,89,0,0,1,80,0,10,800,0,20,0
5,5,2,No Project,0,0,0,0,0,No Recreation,0,near,58,29,17,15,29,89,1,1,1,0,0,0,0,0,0,0
5,6,1,Project,20,120,80,6,2,Picnic Tables,10,near,59,30,21,15,30,90,1,0,1,120,80,10,1200,800,60,20
5,6,2,No Project,0,0,0,0,0,No Recreation,0,near,60,30,21,15,30,90,0,1,1,0,0,0,0,0,0,0
1,1,1,Project,20,120,120,12,12,Trails and Tables,25,near,1,1,5,16,1,91,1,0,1,120,120,25,3000,3000,300,300
1,1,2,No Project,0,0,0,0,0,No Recreation,0,near,2,1,5,16,1,91,0,1,1,0,0,0,0,0,0,0
1,2,1,Project,100,0,120,0,2,No Recreation,10,near,3,2,8,16,2,92,1,0,1,0,120,10,0,1200,0,20
1,2,2,No Project,0,0,0,0,0,No Recreation,0,near,4,2,8,16,2,92,0,1,1,0,0,0,0,0,0,0
1,3,1,Project,500,40,120,0,2,Trails and Tables,25,near,5,3,15,16,3,93,1,0,1,40,120,25,1000,3000,0,50
1,3,2,No Project,0,0,0,0,0,No Recreation,0,near,6,3,15,16,3,93,0,1,1,0,0,0,0,0,0,0
1,4,1,Project,500,120,80,2,0,No Recreation,15,near,7,4,26,16,4,94,1,0,1,120,80,15,1800,1200,30,0
1,4,2,No Project,0,0,0,0,0,No Recreation,0,near,8,4,26,16,4,94,0,1,1,0,0,0,0,0,0,0
1,5,1,Project,50,120,120,6,12,No Recreation,25,near,9,5,27,16,5,95,1,0,1,120,120,25,3000,3000,150,300
1,5,2,No Project,0,0,0,0,0,No Recreation,0,near,10,5,27,16,5,95,0,1,1,0,0,0,0,0,0,0
1,6,1,Project,100,120,40,0,6,Picnic Tables,10,near,11,6,29,16,6,96,0,0,1,120,40,10,1200,400,0,60
1,6,2,No Project,0,0,0,0,0,No Recreation,0,near,12,6,29,16,6,96,1,1,1,0,0,0,0,0,0,0
2,1,1,Project,20,120,0,0,0,Trails and Tables,15,near,13,7,6,17,7,97,1,0,1,120,0,15,1800,0,0,0
2,1,2,No Project,0,0,0,0,0,No Recreation,0,near,14,7,6,17,7,97,0,1,1,0,0,0,0,0,0,0
2,2,1,Project,100,40,40,2,12,Maintained Trails,25,near,15,8,9,17,8,98,1,0,1,40,40,25,1000,1000,50,300
2,2,2,No Project,0,0,0,0,0,No Recreation,0,near,16,8,9,17,8,98,0,1,1,0,0,0,0,0,0,0
2,3,1,Project,5,120,120,2,0,Maintained Trails,25,near,17,9,12,17,9,99,0,0,1,120,120,25,3000,3000,50,0
2,3,2,No Project,0,0,0,0,0,No Recreation,0,near,18,9,12,17,9,99,1,1,1,0,0,0,0,0,0,0
2,4,1,Project,5,120,120,12,12,No Recreation,10,near,19,10,19,17,10,100,1,0,1,120,120,10,1200,1200,120,120
2,4,2,No Project,0,0,0,0,0,No Recreation,0,near,20,10,19,17,10,100,0,1,1,0,0,0,0,0,0,0
2,5,1,Project,50,40,80,0,12,Picnic Tables,15,near,21,11,25,17,11,101,1,0,1,40,80,15,600,1200,0,180
2,5,2,No Project,0,0,0,0,0,No Recreation,0,near,22,11,25,17,11,101,0,1,1,0,0,0,0,0,0,0
2,6,1,Project,20,80,40,0,6,No Recreation,25,near,23,12,28,17,12,102,0,0,1,80,40,25,2000,1000,0,150
2,6,2,No Project,0,0,0,0,0,No Recreation,0,near,24,12,28,17,12,102,1,1,1,0,0,0,0,0,0,0
3,1,1,Project,100,80,80,12,6,Maintained Trails,10,near,25,13,10,18,13,103,0,0,1,80,80,10,800,800,120,60
3,1,2,No Project,0,0,0,0,0,No Recreation,0,near,26,13,10,18,13,103,1,1,1,0,0,0,0,0,0,0
3,2,1,Project,500,120,40,6,12,Maintained Trails,10,near,27,14,13,18,14,104,1,0,1,120,40,10,1200,400,60,120
3,2,2,No Project,0,0,0,0,0,No Recreation,0,near,28,14,13,18,14,104,0,1,1,0,0,0,0,0,0,0
3,3,1,Project,5,40,40,12,0,Trails and Tables,10,near,29,15,18,18,15,105,1,0,1,40,40,10,400,400,120,0
3,3,2,No Project,0,0,0,0,0,No Recreation,0,near,30,15,18,18,15,105,0,1,1,0,0,0,0,0,0,0
3,4,1,Project,50,120,120,2,6,Trails and Tables,10,near,31,16,22,18,16,106,1,0,1,120,120,10,1200,1200,20,60
3,4,2,No Project,0,0,0,0,0,No Recreation,0,near,32,16,22,18,16,106,0,1,1,0,0,0,0,0,0,0
3,5,1,Project,1000,40,120,6,6,No Recreation,10,near,33,17,23,18,17,107,1,0,1,40,120,10,400,1200,60,60
3,5,2,No Project,0,0,0,0,0,No Recreation,0,near,34,17,23,18,17,107,0,1,1,0,0,0,0,0,0,0
3,6,1,Project,1000,120,40,12,2,Picnic Tables,15,near,35,18,30,18,18,108,1,0,1,120,40,15,1800,600,180,30
3,6,2,No Project,0,0,0,0,0,No Recreation,0,near,36,18,30,18,18,108,0,1,1,0,0,0,0,0,0,0
4,1,1,Project,5,0,80,0,12,No Recreation,25,near,37,19,1,19,19,109,1,0,1,0,80,25,0,2000,0,300
4,1,2,No Project,0,0,0,0,0,No Recreation,0,near,38,19,1,19,19,109,0,1,1,0,0,0,0,0,0,0
