block,card,alt,title,cost,nature,farmland,meals,fruit,veggies,dist,treatment,food,alt_id,card_id,card_dcreate,ind_id,pooled_card_id,ind_card_id,choice,asc,food_fruit
3,4,2,No Project,0,0,0,0,0,0,0,miles,0,40,20,10,3,20,20,0,1,0
3,5,1,Project,100,80,80,0,0,0,15,miles,0,41,21,14,3,21,21,0,0,0
3,5,2,No Project,0,0,0,0,0,0,0,miles,0,42,21,14,3,21,21,1,1,0
3,6,1,Project,5,160,0,"4,000",4000,0,40,miles,1,43,22,15,3,22,22,1,0,4000
3,6,2,No Project,0,0,0,0,0,0,0,miles,0,44,22,15,3,22,22,0,1,0
3,7,1,Project,20,120,40,"4,000",3000,1000,5,miles,1,45,23,16,3,23,23,1,0,3000
3,7,2,No Project,0,0,0,0,0,0,0,miles,0,46,23,16,3,23,23,0,1,0
3,8,1,Project,5,160,0,0,0,0,15,miles,0,47,24,19,3,24,24,1,0,0
3,8,2,No Project,0,0,0,0,0,0,0,miles,0,48,24,19,3,24,24,0,1,0
1,1,1,Project,50,160,0,"4,000",4000,0,30,minutes,1,1,1,1,4,25,25,1,0,4000
1,1,2,No Project,0,0,0,0,0,0,0,minutes,0,2,1,1,4,25,25,0,1,0
1,2,1,Project,100,40,120,"4,000",1000,3000,15,minutes,1,3,2,9,4,26,26,1,0,1000
1,2,2,No Project,0,0,0,0,0,0,0,minutes,0,4,2,9,4,26,26,0,1,0
1,3,1,Project,5,40,120,0,0,0,15,minutes,0,5,3,12,4,27,27,1,0,0
1,3,2,No Project,0,0,0,0,0,0,0,minutes,0,6,3,12,4,27,27,0,1,0
1,4,1,Project,100,160,0,"4,000",4000,0,15,minutes,1,7,4,17,4,28,28,1,0,4000
1,4,2,No Project,0,0,0,0,0,0,0,minutes,0,8,4,17,4,28,28,0,1,0
1,5,1,Project,100,80,80,0,0,0,15,minutes,0,9,5,18,4,29,29,0,0,0
1,5,2,No Project,0,0,0,0,0,0,0,minutes,0,10,5,18,4,29,29,1,1,0
1,6,1,Project,100,120,40,"4,000",3000,1000,30,minutes,1,11,6,20,4,30,30,0,0,3000
1,6,2,No Project,0,0,0,0,0,0,0,minutes,0,12,6,20,4,30,30,1,1,0
1,7,1,Project,20,160,0,0,0,0,60,minutes,0,13,7,21,4,31,31,0,0,0
1,7,2,No Project,0,0,0,0,0,0,0,minutes,0,14,7,21,4,31,31,1,1,0
1,8,1,Project,5,120,40,0,0,0,60,minutes,0,15,8,23,4,32,32,1,0,0
1,8,2,No Project,0,0,0,0,0,0,0,minutes,0,16,8,23,4,32,32,0,1,0
2,1,1,Project,100,120,40,0,0,0,15,minutes,0,17,9,2,5,33,33,1,0,0
2,1,2,No Project,0,0,0,0,0,0,0,minutes,0,18,9,2,5,33,33,0,1,0
2,2,1,Project,50,80,80,0,0,0,60,minutes,0,19,10,4,5,34,34,1,0,0
2,2,2,No Project,0,0,0,0,0,0,0,minutes,0,20,10,4,5,34,34,0,1,0
2,3,1,Project,20,80,80,"4,000",2000,2000,60,minutes,1,21,11,5,5,35,35,1,0,2000
2,3,2,No Project,0,0,0,0,0,0,0,minutes,0,22,11,5,5,35,35,0,1,0
2,4,1,Project,50,80,80,"4,000",2000,2000,30,minutes,1,23,12,8,5,36,36,1,0,2000
2,4,2,No Project,0,0,0,0,0,0,0,minutes,0,24,12,8,5,36,36,0,1,0
2,5,1,Project,50,40,120,"4,000",1000,3000,60,minutes,1,25,13,11,5,37,37,1,0,1000
2,5,2,No Project,0,0,0,0,0,0,0,minutes,0,26,13,11,5,37,37,0,1,0
2,6,1,Project,20,160,0,0,0,0,15,minutes,0,27,14,13,5,38,38,1,0,0
2,6,2,No Project,0,0,0,0,0,0,0,minutes,0,28,14,13,5,38,38,0,1,0
2,7,1,Project,50,40,120,0,0,0,30,minutes,0,29,15,22,5,39,39,0,0,0
2,7,2,No Project,0,0,0,0,0,0,0,minutes,0,30,15,22,5,39,39,1,1,0
2,8,1,Project,5,40,120,"4,000",1000,3000,30,minutes,1,31,16,24,5,40,40,0,0,1000
2,8,2,No Project,0,0,0,0,0,0,0,minutes,0,32,16,24,5,40,40,1,1,0
3,1,1,Project,20,40,120,0,0,0,60,minutes,0,33,17,3,6,41,41,1,0,0
3,1,2,No Project,0,0,0,0,0,0,0,minutes,0,34,17,3,6,41,41,0,1,0
3,2,1,Project,5,80,80,"4,000",2000,2000,15,minutes,1,35,18,6,6,42,42,1,0,2000
3,2,2,No Project,0,0,0,0,0,0,0,minutes,0,36,18,6,6,42,42,0,1,0
3,3,1,Project,50,120,40,0,0,0,30,minutes,0,37,19,7,6,43,43,0,0,0
3,3,2,No Project,0,0,0,0,0,0,0,minutes,0,38,19,7,6,43,43,1,1,0
3,4,1,Project,20,120,40,"4,000",3000,1000,60,minutes,1,39,20,10,6,44,44,1,0,3000
3,4,2,No Project,0,0,0,0,0,0,0,minutes,0,40,20,10,6,44,44,0,1,0
3,5,1,Project,100,80,80,0,0,0,30,minutes,0,41,21,14,6,45,45,0,0,0
3,5,2,No Project,0,0,0,0,0,0,0,minutes,0,42,21,14,6,45,45,1,1,0
3,6,1,Project,5,160,0,"4,000",4000,0,60,minutes,1,43,22,15,6,46,46,0,0,4000
3,6,2,No Project,0,0,0,0,0,0,0,minutes,0,44,22,15,6,46,46,1,1,0
3,7,1,Project,20,120,40,"4,000",3000,1000,15,minutes,1,45,23,16,6,47,47,0,0,3000
3,7,2,No Project,0,0,0,0,0,0,0,minutes,0,46,23,16,6,47,47,1,1,0
3,8,1,Project,5,160,0,0,0,0,30,minutes,0,47,24,19,6,48,48,1,0,0
3,8,2,No Project,0,0,0,0,0,0,0,minutes,0,48,24,19,6,48,48,0,1,0
1,1,1,Project,50,160,0,"4,000",4000,0,15,miles,1,1,1,1,7,1,49,0,0,4000
1,1,2,No Project,0,0,0,0,0,0,0,miles,0,2,1,1,7,1,49,1,1,0
1,2,1,Project,100,40,120,"4,000",1000,3000,5,miles,1,3,2,9,7,2,50,1,0,1000
1,2,2,No Project,0,0,0,0,0,0,0,miles,0,4,2,9,7,2,50,0,1,0
1,3,1,Project,5,40,120,0,0,0,5,miles,0,5,3,12,7,3,51,1,0,0
1,3,2,No Project,0,0,0,0,0,0,0,miles,0,6,3,12,7,3,51,0,1,0
1,4,1,Project,100,160,0,"4,000",4000,0,5,miles,1,7,4,17,7,4,52,0,0,4000
1,4,2,No Project,0,0,0,0,0,0,0,miles,0,8,4,17,7,4,52,1,1,0
1,5,1,Project,100,80,80,0,0,0,5,miles,0,9,5,18,7,5,53,0,0,0
1,5,2,No Project,0,0,0,0,0,0,0,miles,0,10,5,18,7,5,53,1,1,0
1,6,1,Project,100,120,40,"4,000",3000,1000,15,miles,1,11,6,20,7,6,54,1,0,3000
1,6,2,No Project,0,0,0,0,0,0,0,miles,0,12,6,20,7,6,54,0,1,0
1,7,1,Project,20,160,0,0,0,0,40,miles,0,13,7,21,7,7,55,1,0,0
1,7,2,No Project,0,0,0,0,0,0,0,miles,0,14,7,21,7,7,55,0,1,0
1,8,1,Project,5,120,40,0,0,0,40,miles,0,15,8,23,7,8,56,1,0,0
1,8,2,No Project,0,0,0,0,0,0,0,miles,0,16,8,23,7,8,56,0,1,0
2,1,1,Project,100,120,40,0,0,0,5,miles,0,17,9,2,8,9,57,1,0,0
2,1,2,No Project,0,0,0,0,0,0,0,miles,0,18,9,2,8,9,57,0,1,0
2,2,1,Project,50,80,80,0,0,0,40,miles,0,19,10,4,8,10,58,1,0,0
2,2,2,No Project,0,0,0,0,0,0,0,miles,0,20,10,4,8,10,58,0,1,0
2,3,1,Project,20,80,80,"4,000",2000,2000,40,miles,1,21,11,5,8,11,59,0,0,2000
2,3,2,No Project,0,0,0,0,0,0,0,miles,0,22,11,5,8,11,59,1,1,0
2,4,1,Project,50,80,80,"4,000",2000,2000,15,miles,1,23,12,8,8,12,60,0,0,2000
2,4,2,No Project,0,0,0,0,0,0,0,miles,0,24,12,8,8,12,60,1,1,0
2,5,1,Project,50,40,120,"4,000",1000,3000,40,miles,1,25,13,11,8,13,61,0,0,1000
2,5,2,No Project,0,0,0,0,0,0,0,miles,0,26,13,11,8,13,61,1,1,0
2,6,1,Project,20,160,0,0,0,0,5,miles,0,27,14,13,8,14,62,1,0,0
2,6,2,No Project,0,0,0,0,0,0,0,miles,0,28,14,13,8,14,62,0,1,0
2,7,1,Project,50,40,120,0,0,0,15,miles,0,29,15,22,8,15,63,1,0,0
2,7,2,No Project,0,0,0,0,0,0,0,miles,0,30,15,22,8,15,63,0,1,0
2,8,1,Project,5,40,120,"4,000",1000,3000,15,miles,1,31,16,24,8,16,64,0,0,1000
2,8,2,No Project,0,0,0,0,0,0,0,miles,0,32,16,24,8,16,64,1,1,0
3,1,1,Project,20,40,120,0,0,0,40,miles,0,33,17,3,9,17,65,0,0,0
3,1,2,No Project,0,0,0,0,0,0,0,miles,0,34,17,3,9,17,65,1,1,0
3,2,1,Project,5,80,80,"4,000",2000,2000,5,miles,1,35,18,6,9,18,66,0,0,2000
3,2,2,No Project,0,0,0,0,0,0,0,miles,0,36,18,6,9,18,66,1,1,0
3,3,1,Project,50,120,40,0,0,0,15,miles,0,37,19,7,9,19,67,0,0,0
3,3,2,No Project,0,0,0,0,0,0,0,miles,0,38,19,7,9,19,67,1,1,0
3,4,1,Project,20,120,40,"4,000",3000,1000,40,miles,1,39,20,10,9,20,68,1,0,3000
3,4,2,No Project,0,0,0,0,0,0,0,miles,0,40,20,10,9,20,68,0,1,0
3,5,1,Project,100,80,80,0,0,0,15,miles,0,41,21,14,9,21,69,1,0,0
3,5,2,No Project,0,0,0,0,0,0,0,miles,0,42,21,14,9,21,69,0,1,0
3,6,1,Project,5,160,0,"4,000",4000,0,40,miles,1,43,22,15,9,22,70,0,0,4000
3,6,2,No Project,0,0,0,0,0,0,0,miles,0,44,22,15,9,22,70,1,1,0
3,7,1,Project,20,120,40,"4,000",3000,1000,5,miles,1,45,23,16,9,23,71,0,0,3000
3,7,2,No Project,0,0,0,0,0,0,0,miles,0,46,23,16,9,23,71,1,1,0
3,8,1,Project,5,160,0,0,0,0,15,miles,0,47,24,19,9,24,72,1,0,0
3,8,2,No Project,0,0,0,0,0,0,0,miles,0,48,24,19,9,24,72,0,1,0
1,1,1,Project,50,160,0,"4,000",4000,0,30,minutes,1,1,1,1,10,25,73,0,0,4000
1,1,2,No Project,0,0,0,0,0,0,0,minutes,0,2,1,1,10,25,73,1,1,0
1,2,1,Project,100,40,120,"4,000",1000,3000,15,minutes,1,3,2,9,10,26,74,1,0,1000
1,2,2,No Project,0,0,0,0,0,0,0,minutes,0,4,2,9,10,26,74,0,1,0
1,3,1,Project,5,40,120,0,0,0,15,minutes,0,5,3,12,10,27,75,0,0,0
1,3,2,No Project,0,0,0,0,0,0,0,minutes,0,6,3,12,10,27,75,1,1,0
1,4,1,Project,100,160,0,"4,000",4000,0,15,minutes,1,7,4,17,10,28,76,1,0,4000
1,4,2,No Project,0,0,0,0,0,0,0,minutes,0,8,4,17,10,28,76,0,1,0
1,5,1,Project,100,80,80,0,0,0,15,minutes,0,9,5,18,10,29,77,0,0,0
1,5,2,No Project,0,0,0,0,0,0,0,minutes,0,10,5,18,10,29,77,1,1,0
1,6,1,Project,100,120,40,"4,000",3000,1000,30,minutes,1,11,6,20,10,30,78,0,0,3000
1,6,2,No Project,0,0,0,0,0,0,0,minutes,0,12,6,20,10,30,78,1,1,0
1,7,1,Project,20,160,0,0,0,0,60,minutes,0,13,7,21,10,31,79,0,0,0
1,7,2,No Project,0,0,0,0,0,0,0,minutes,0,14,7,21,10,31,79,1,1,0
1,8,1,Project,5,120,40,0,0,0,60,minutes,0,15,8,23,10,32,80,0,0,0
1,8,2,No Project,0,0,0,0,0,0,0,minutes,0,16,8,23,10,32,80,1,1,0
2,1,1,Project,100,120,40,0,0,0,15,minutes,0,17,9,2,11,33,81,0,0,0
2,1,2,No Project,0,0,0,0,0,0,0,minutes,0,18,9,2,11,33,81,1,1,0
2,2,1,Project,50,80,80,0,0,0,60,minutes,0,19,10,4,11,34,82,1,0,0
2,2,2,No Project,0,0,0,0,0,0,0,minutes,0,20,10,4,11,34,82,0,1,0
2,3,1,Project,20,80,80,"4,000",2000,2000,60,minutes,1,21,11,5,11,35,83,1,0,2000
2,3,2,No Project,0,0,0,0,0,0,0,minutes,0,22,11,5,11,35,83,0,1,0
2,4,1,Project,50,80,80,"4,000",2000,2000,30,minutes,1,23,12,8,11,36,84,0,0,2000
2,4,2,No Project,0,0,0,0,0,0,0,minutes,0,24,12,8,11,36,84,1,1,0
2,5,1,Project,50,40,120,"4,000",1000,3000,60,minutes,1,25,13,11,11,37,85,1,0,1000
2,5,2,No Project,0,0,0,0,0,0,0,minutes,0,26,13,11,11,37,85,0,1,0
2,6,1,Project,20,160,0,0,0,0,15,minutes,0,27,14,13,11,38,86,1,0,0
2,6,2,No Project,0,0,0,0,0,0,0,minutes,0,28,14,13,11,38,86,0,1,0
2,7,1,Project,50,40,120,0,0,0,30,minutes,0,29,15,22,11,39,87,1,0,0
2,7,2,No Project,0,0,0,0,0,0,0,minutes,0,30,15,22,11,39,87,0,1,0
2,8,1,Project,5,40,120,"4,000",1000,3000,30,minutes,1,31,16,24,11,40,88,0,0,1000
2,8,2,No Project,0,0,0,0,0,0,0,minutes,0,32,16,24,11,40,88,1,1,0
3,1,1,Project,20,40,120,0,0,0,60,minutes,0,33,17,3,12,41,89,0,0,0
3,1,2,No Project,0,0,0,0,0,0,0,minutes,0,34,17,3,12,41,89,1,1,0
3,2,1,Project,5,80,80,"4,000",2000,2000,15,minutes,1,35,18,6,12,42,90,1,0,2000
3,2,2,No Project,0,0,0,0,0,0,0,minutes,0,36,18,6,12,42,90,0,1,0
3,3,1,Project,50,120,40,0,0,0,30,minutes,0,37,19,7,12,43,91,1,0,0
3,3,2,No Project,0,0,0,0,0,0,0,minutes,0,38,19,7,12,43,91,0,1,0
3,4,1,Project,20,120,40,"4,000",3000,1000,60,minutes,1,39,20,10,12,44,92,1,0,3000
3,4,2,No Project,0,0,0,0,0,0,0,minutes,0,40,20,10,12,44,92,0,1,0
3,5,1,Project,100,80,80,0,0,0,30,minutes,0,41,21,14,12,45,93,1,0,0
3,5,2,No Project,0,0,0,0,0,0,0,minutes,0,42,21,14,12,45,93,0,1,0
3,6,1,Project,5,160,0,"4,000",4000,0,60,minutes,1,43,22,15,12,46,94,1,0,4000
3,6,2,No Project,0,0,0,0,0,0,0,minutes,0,44,22,15,12,46,94,0,1,0
3,7,1,Project,20,120,40,"4,000",3000,1000,15,minutes,1,45,23,16,12,47,95,1,0,3000
3,7,2,No Project,0,0,0,0,0,0,0,minutes,0,46,23,16,12,47,95,0,1,0
3,8,1,Project,5,160,0,0,0,0,30,minutes,0,47,24,19,12,48,96,0,0,0
3,8,2,No Project,0,0,0,0,0,0,0,minutes,0,48,24,19,12,48,96,1,1,0
1,1,1,Project,50,160,0,"4,000",4000,0,15,miles,1,1,1,1,13,1,97,1,0,4000
1,1,2,No Project,0,0,0,0,0,0,0,miles,0,2,1,1,13,1,97,0,1,0
1,2,1,Project,100,40,120,"4,000",1000,3000,5,miles,1,3,2,9,13,2,98,1,0,1000
1,2,2,No Project,0,0,0,0,0,0,0,miles,0,4,2,9,13,2,98,0,1,0
1,3,1,Project,5,40,120,0,0,0,5,miles,0,5,3,12,13,3,99,0,0,0
1,3,2,No Project,0,0,0,0,0,0,0,miles,0,6,3,12,13,3,99,1,1,0
1,4,1,Project,100,160,0,"4,000",4000,0,5,miles,1,7,4,17,13,4,100,1,0,4000
1,4,2,No Project,0,0,0,0,0,0,0,miles,0,8,4,17,13,4,100,0,1,0
1,5,1,Project,100,80,80,0,0,0,5,miles,0,9,5,18,13,5,101,1,0,0
1,5,2,No Project,0,0,0,0,0,0,0,miles,0,10,5,18,13,5,101,0,1,0
1,6,1,Project,100,120,40,"4,000",3000,1000,15,miles,1,11,6,20,13,6,102,0,0,3000
1,6,2,No Project,0,0,0,0,0,0,0,miles,0,12,6,20,13,6,102,1,1,0
1,7,1,Project,20,160,0,0,0,0,40,miles,0,13,7,21,13,7,103,0,0,0
1,7,2,No Project,0,0,0,0,0,0,0,miles,0,14,7,21,13,7,103,1,1,0
1,8,1,Project,5,120,40,0,0,0,40,miles,0,15,8,23,13,8,104,1,0,0
1,8,2,No Project,0,0,0,0,0,0,0,miles,0,16,8,23,13,8,104,0,1,0
2,1,1,Project,100,120,40,0,0,0,5,miles,0,17,9,2,14,9,105,1,0,0
2,1,2,No Project,0,0,0,0,0,0,0,miles,0,18,9,2,14,9,105,0,1,0
2,2,1,Project,50,80,80,0,0,0,40,miles,0,19,10,4,14,10,106,1,0,0
2,2,2,No Project,0,0,0,0,0,0,0,miles,0,20,10,4,14,10,106,0,1,0
2,3,1,Project,20,80,80,"4,000",2000,2000,40,miles,1,21,11,5,14,11,107,1,0,2000
2,3,2,No Project,0,0,0,0,0,0,0,miles,0,22,11,5,14,11,107,0,1,0
2,4,1,Project,50,80,80,"4,000",2000,2000,15,miles,1,23,12,8,14,12,108,1,0,2000
2,4,2,No Project,0,0,0,0,0,0,0,miles,0,24,12,8,14,12,108,0,1,0
2,5,1,Project,50,40,120,"4,000",1000,3000,40,miles,1,25,13,11,14,13,109,1,0,1000
2,5,2,No Project,0,0,0,0,0,0,0,miles,0,26,13,11,14,13,109,0,1,0
2,6,1,Project,20,160,0,0,0,0,5,miles,0,27,14,13,14,14,110,0,0,0
2,6,2,No Project,0,0,0,0,0,0,0,miles,0,28,14,13,14,14,110,1,1,0
2,7,1,Project,50,40,120,0,0,0,15,miles,0,29,15,22,14,15,111,0,0,0
2,7,2,No Project,0,0,0,0,0,0,0,miles,0,30,15,22,14,15,111,1,1,0
2,8,1,Project,5,40,120,"4,000",1000,3000,15,miles,1,31,16,24,14,16,112,0,0,1000
2,8,2,No Project,0,0,0,0,0,0,0,miles,0,32,16,24,14,16,112,1,1,0
3,1,1,Project,20,40,120,0,0,0,40,miles,0,33,17,3,15,17,113,1,0,0
3,1,2,No Project,0,0,0,0,0,0,0,miles,0,34,17,3,15,17,113,0,1,0
3,2,1,Project,5,80,80,"4,000",2000,2000,5,miles,1,35,18,6,15,18,114,1,0,2000
3,2,2,No Project,0,0,0,0,0,0,0,miles,0,36,18,6,15,18,114,0,1,0
3,3,1,Project,50,120,40,0,0,0,15,miles,0,37,19,7,15,19,115,0,0,0
3,3,2,No Project,0,0,0,0,0,0,0,miles,0,38,19,7,15,19,115,1,1,0
3,4,1,Project,20,120,40,"4,000",3000,1000,40,miles,1,39,20,10,15,20,116,0,0,3000
3,4,2,No Project,0,0,0,0,0,0,0,miles,0,40,20,10,15,20,116,1,1,0
3,5,1,Project,100,80,80,0,0,0,15,miles,0,41,21,14,15,21,117,1,0,0
3,5,2,No Project,0,0,0,0,0,0,0,miles,0,42,21,14,15,21,117,0,1,0
3,6,1,Project,5,160,0,"4,000",4000,0,40,miles,1,43,22,15,15,22,118,0,0,4000
3,6,2,No Project,0,0,0,0,0,0,0,miles,0,44,22,15,15,22,118,1,1,0
3,7,1,Project,20,120,40,"4,000",3000,1000,5,miles,1,45,23,16,15,23,119,0,0,3000
3,7,2,No Project,0,0,0,0,0,0,0,miles,0,46,23,16,15,23,119,1,1,0
3,8,1,Project,5,160,0,0,0,0,15,miles,0,47,24,19,15,24,120,1,0,0
3,8,2,No Project,0,0,0,0,0,0,0,miles,0,48,24,19,15,24,120,0,1,0
1,1,1,Project,50,160,0,"4,000",4000,0,30,minutes,1,1,1,1,16,25,121,0,0,4000
1,1,2,No Project,0,0,0,0,0,0,0,minutes,0,2,1,1,16,25,121,1,1,0
1,2,1,Project,100,40,120,"4,000",1000,3000,15,minutes,1,3,2,9,16,26,122,0,0,1000
1,2,2,No Project,0,0,0,0,0,0,0,minutes,0,4,2,9,16,26,122,1,1,0
1,3,1,Project,5,40,120,0,0,0,15,minutes,0,5,3,12,16,27,123,1,0,0
1,3,2,No Project,0,0,0,0,0,0,0,minutes,0,6,3,12,16,27,123,0,1,0
1,4,1,Project,100,160,0,"4,000",4000,0,15,minutes,1,7,4,17,16,28,124,1,0,4000
1,4,2,No Project,0,0,0,0,0,0,0,minutes,0,8,4,17,16,28,124,0,1,0
1,5,1,Project,100,80,80,0,0,0,15,minutes,0,9,5,18,16,29,125,0,0,0
1,5,2,No Project,0,0,0,0,0,0,0,minutes,0,10,5,18,16,29,125,1,1,0
1,6,1,Project,100,120,40,"4,000",3000,1000,30,minutes,1,11,6,20,16,30,126,0,0,3000
1,6,2,No Project,0,0,0,0,0,0,0,minutes,0,12,6,20,16,30,126,1,1,0
1,7,1,Project,20,160,0,0,0,0,60,minutes,0,13,7,21,16,31,127,0,0,0
1,7,2,No Project,0,0,0,0,0,0,0,minutes,0,14,7,21,16,31,127,1,1,0
1,8,1,Project,5,120,40,0,0,0,60,minutes,0,15,8,23,16,32,128,1,0,0
1,8,2,No Project,0,0,0,0,0,0,0,minutes,0,16,8,23,16,32,128,0,1,0
2,1,1,Project,100,120,40,0,0,0,15,minutes,0,17,9,2,17,33,129,0,0,0
2,1,2,No Project,0,0,0,0,0,0,0,minutes,0,18,9,2,17,33,129,1,1,0
2,2,1,Project,50,80,80,0,0,0,60,minutes,0,19,10,4,17,34,130,0,0,0
2,2,2,No Project,0,0,0,0,0,0,0,minutes,0,20,10,4,17,34,130,1,1,0
2,3,1,Project,20,80,80,"4,000",2000,2000,60,minutes,1,21,11,5,17,35,131,0,0,2000
2,3,2,No Project,0,0,0,0,0,0,0,minutes,0,22,11,5,17,35,131,1,1,0
2,4,1,Project,50,80,80,"4,000",2000,2000,30,minutes,1,23,12,8,17,36,132,0,0,2000
2,4,2,No Project,0,0,0,0,0,0,0,minutes,0,24,12,8,17,36,132,1,1,0
2,5,1,Project,50,40,120,"4,000",1000,3000,60,minutes,1,25,13,11,17,37,133,1,0,1000
2,5,2,No Project,0,0,0,0,0,0,0,minutes,0,26,13,11,17,37,133,0,1,0
2,6,1,Project,20,160,0,0,0,0,15,minutes,0,27,14,13,17,38,134,1,0,0
2,6,2,No Project,0,0,0,0,0,0,0,minutes,0,28,14,13,17,38,134,0,1,0
2,7,1,Project,50,40,120,0,0,0,30,minutes,0,29,15,22,17,39,135,1,0,0
2,7,2,No Project,0,0,0,0,0,0,0,minutes,0,30,15,22,17,39,135,0,1,0
2,8,1,Project,5,40,120,"4,000",1000,3000,30,minutes,1,31,16,24,17,40,136,0,0,1000
2,8,2,No Project,0,0,0,0,0,0,0,minutes,0,32,16,24,17,40,136,1,1,0
3,1,1,Project,20,40,120,0,0,0,60,minutes,0,33,17,3,18,41,137,1,0,0
3,1,2,No Project,0,0,0,0,0,0,0,minutes,0,34,17,3,18,41,137,0,1,0
3,2,1,Project,5,80,80,"4,000",2000,2000,15,minutes,1,35,18,6,18,42,138,1,0,2000
3,2,2,No Project,0,0,0,0,0,0,0,minutes,0,36,18,6,18,42,138,0,1,0
3,3,1,Project,50,120,40,0,0,0,30,minutes,0,37,19,7,18,43,139,1,0,0
3,3,2,No Project,0,0,0,0,0,0,0,minutes,0,38,19,7,18,43,139,0,1,0
3,4,1,Project,20,120,40,"4,000",3000,1000,60,minutes,1,39,20,10,18,44,140,0,0,3000
3,4,2,No Project,0,0,0,0,0,0,0,minutes,0,40,20,10,18,44,140,1,1,0
3,5,1,Project,100,80,80,0,0,0,30,minutes,0,41,21,14,18,45,141,1,0,0
3,5,2,No Project,0,0,0,0,0,0,0,minutes,0,42,21,14,18,45,141,0,1,0
3,6,1,Project,5,160,0,"4,000",4000,0,60,minutes,1,43,22,15,18,46,142,0,0,4000
3,6,2,No Project,0,0,0,0,0,0,0,minutes,0,44,22,15,18,46,142,1,1,0
3,7,1,Project,20,120,40,"4,000",3000,1000,15,minutes,1,45,23,16,18,47,143,1,0,3000
